,[20],[40],[60],[80],[100],[120],[140],[160],[180],[200],[220],[240],[260],[280]
0,9.0,3.812221103162784,788.1730432768946,18465.77315253296,24154.667271558443,16062.93971427303,1212.0453728255616,4160.466001124041,3448.188114048944,2055.9540842638353,1248.6193522382266,834.34180445182,631.7528673359059,535.7913055535453
1,9.00001,22.668532733506993,1033.6859499924337,3455.7984558800563,312502.87734401657,19746.358180564093,380109534.5373918,5.703200807289455e+27,1.0366436387422227e+28,3.3712482793036644e+26,1.0400225896805663e+29,2.2498600227690845e+27,1.2236816849804296e+35,6.036157969953658e+52
2,9.0,92.42857142857143,1259.4285714285713,19054.571428571428,33702.0,36057.142857142855,14342.0,2796.8571428571427,555.4285714285714,110.71428571428572,17.0,1.2857142857142858,0.0,0.0
3,9.00001,18.019960401723864,424.16351577358887,15352.34166141463,33702.00001,19637.567259809686,3473.8250121033816,10894.823996789662,9845.109157087672,9625.730986715569,9834.761406549236,0.14987429695579466,1e-05,0.0
4,9.00001,13.514860903963907,419.2876385180982,19054.571438571427,5921.033521505153,35546.94852977153,4895.97899228855,726.1451592440851,121.28269891515941,27.603007588051142,6.302876169368535,1.2857242857142859,1e-05,1e-05
