,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
n_hospitalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,6.0,9.0,9.0,11.0,15.0,20.0,22.0,26.0,30.0,37.0,39.0,39.0,45.0,49.0,54.0,62.0,73.0,84.0,96.0,118.0,144.0,169.0,201.0,231.0,256.0,292.0,339.0,381.0,444.0,519.0,593.0,676.0,764.0,852.0,948.0,1080.0,1206.0,1347.0,1463.0,1605.0,1732.0,1874.0,2007.0,2113.0,2259.0,2378.0,2501.0,2602.0,2722.0,2824.0,2906.0,2982.0,3041.0,3117.0,3171.0,3269.0,3332.0,3413.0,3475.0,3552.0,3578.0,3653.0,3704.0,3740.0,3765.0,3812.0,3860.0,3899.0,3895.0,3930.0,3956.0,4004.0,4022.0,4099.0,4132.0,4195.0,4246.0,4319.0,4338.0,4398.0,4435.0,4492.0,4557.0,4587.0,4633.0,4686.0,4747.0,4808.0,4815.0,4834.0,4915.0,4967.0,4986.0,5055.0,5092.0,5121.0,5198.0,5307.0,5395.0,5425.0,5456.0,5493.0,5554.0,5582.0,5643.0,5699.0,5705.0,5818.0,5939.0,6095.0,6308.0,6635.0,6980.0,7419.0,7984.0,8639.0,9332.0,10215.0,11208.0,12353.0,13633.0,15066.0,16668.0,18453.0,20304.0,22344.0,24590.0,26926.0,29462.0,31981.0,34623.0,37355.0,40038.0,42822.0,45593.0,48171.0,50711.0,53186.0,55473.0,57534.0,59400.0,61085.0,62221.0,63180.0,63938.0,64465.0,64601.0,64595.0,64054.0,63428.0,62455.0,61279.0,59746.0,58169.0,56598.0,54719.0,52772.0,50695.0,48669.0,46473.0,44277.0,41893.0,39750.0,37654.0,35585.0,33544.0,31429.0,29523.0,27725.0,25962.0,24260.0,22693.0,21304.0,19911.0,18549.0,17270.0,16077.0,14949.0,13889.0,12981.0,12077.0,11256.0,10476.0,9778.0,9130.0,8509.0,7978.0,7473.0,6972.0,6539.0,6101.0,5696.0,5340.0,5005.0,4710.0,4405.0,4141.0,3842.0,3607.0,3374.0,3163.0,2959.0,2773.0,2589.0,2439.0,2277.0,2124.0,1977.0,1854.0,1721.0,1601.0,1488.0,1397.0,1303.0,1231.0,1146.0,1078.0,1003.0,923.0,873.0,793.0,718.0,676.0,616.0,559.0,512.0,462.0,413.0,381.0,351.0,318.0,289.0,256.0,232.0,199.0,177.0,159.0,145.0,128.0,122.0,112.0,102.0,92.0,79.0,71.0,68.0,62.0,53.0,52.0,43.0,37.0,31.0,31.0,28.0,26.0,25.0,24.0,22.0,22.0,22.0,23.0,22.0,21.0,19.0,19.0,20.0,21.0,21.0,20.0,20.0,20.0,22.0,21.0,21.0,19.0,19.0,20.0,19.0,16.0,18.0,17.0,16.0,17.0,16.0,16.0,16.0,18.0,18.0,18.0,16.0,14.0,15.0,13.0,14.0,14.0,12.0,12.0,12.0,13.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,9.0,8.0,7.0,7.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,7.0,6.0
n_infectious,0.0,0.0,0.0,3.0,3.0,7.0,10.0,14.0,17.0,21.0,27.0,29.0,34.0,37.0,42.0,47.0,57.0,69.0,85.0,95.0,114.0,127.0,153.0,171.0,196.0,237.0,265.0,309.0,369.0,424.0,487.0,567.0,657.0,769.0,878.0,1013.0,1137.0,1290.0,1466.0,1672.0,1892.0,2162.0,2474.0,2808.0,3217.0,3675.0,4158.0,4746.0,5348.0,6031.0,6811.0,7727.0,8671.0,9716.0,10586.0,11282.0,11733.0,12130.0,12394.0,12589.0,12783.0,12937.0,13024.0,13116.0,13268.0,13484.0,13665.0,13888.0,14030.0,14298.0,14575.0,14889.0,15124.0,15386.0,15610.0,15855.0,16115.0,16377.0,16593.0,16849.0,17093.0,17373.0,17668.0,17894.0,18120.0,18396.0,18657.0,18958.0,19191.0,19407.0,19596.0,19775.0,20064.0,20211.0,20385.0,20591.0,20811.0,21056.0,21213.0,21439.0,21558.0,21697.0,21994.0,22332.0,22593.0,22757.0,22881.0,22989.0,23139.0,23242.0,23475.0,23736.0,23921.0,24165.0,24408.0,24568.0,24777.0,24934.0,25082.0,25217.0,25325.0,25472.0,25522.0,25844.0,27108.0,29466.0,32718.0,36618.0,40900.0,45672.0,51546.0,57650.0,64569.0,72125.0,80309.0,88905.0,98355.0,108564.0,119652.0,131678.0,143909.0,157024.0,170546.0,184061.0,198345.0,212064.0,225826.0,239136.0,251619.0,263248.0,273658.0,283161.0,291136.0,297178.0,301868.0,304591.0,305674.0,305530.0,303801.0,300548.0,296412.0,290919.0,284596.0,278102.0,270551.0,262931.0,254819.0,246302.0,237515.0,229055.0,220798.0,212370.0,203825.0,195565.0,187224.0,178635.0,170004.0,161259.0,152632.0,144250.0,136222.0,128745.0,121406.0,114772.0,108276.0,102138.0,96334.0,90726.0,85537.0,80742.0,75978.0,71361.0,66938.0,63018.0,59163.0,55534.0,52132.0,49003.0,45990.0,43175.0,40475.0,37928.0,35604.0,33351.0,31305.0,29338.0,27452.0,25681.0,24024.0,22539.0,21112.0,19857.0,18682.0,17569.0,16455.0,15434.0,14513.0,13611.0,12742.0,11952.0,11257.0,10565.0,9903.0,9251.0,8593.0,8000.0,7354.0,6714.0,6083.0,5517.0,5015.0,4521.0,4039.0,3603.0,3260.0,2946.0,2675.0,2445.0,2257.0,2056.0,1902.0,1726.0,1595.0,1463.0,1343.0,1262.0,1156.0,1045.0,971.0,895.0,818.0,762.0,696.0,628.0,577.0,535.0,481.0,432.0,395.0,361.0,321.0,279.0,252.0,236.0,215.0,210.0,192.0,189.0,183.0,168.0,162.0,155.0,157.0,145.0,141.0,136.0,128.0,124.0,121.0,112.0,108.0,105.0,101.0,100.0,104.0,103.0,111.0,112.0,108.0,104.0,107.0,110.0,113.0,111.0,110.0,110.0,114.0,109.0,101.0,94.0,87.0,88.0,88.0,88.0,85.0,81.0,78.0,78.0,74.0,72.0,69.0,67.0,69.0,65.0,65.0,60.0,60.0,62.0,61.0,57.0,58.0,62.0,55.0,56.0,57.0,61.0,59.0,56.0,57.0,56.0,53.0,58.0,55.0,58.0,58.0,56.0,55.0,55.0,54.0,52.0,56.0,54.0,54.0,55.0,54.0,58.0,53.0,48.0,56.0,58.0,58.0,55.0,54.0,55.0,54.0,49.0,48.0,51.0,52.0,53.0,53.0,58.0,59.0,64.0,65.0,71.0
mobility,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eff,6.656529926118397,7.607462772706739,8.93907072852258,9.601420345868656,8.809269127013192,6.507411357334682,3.9834281109294305,2.8051291714195443,3.0261041814576717,3.614658582235744,4.28315837790345,4.954492938998954,5.053660801234259,4.4777596478499815,4.07877980192351,4.596718415286906,5.351403348907784,5.252621443029331,4.594923751856044,4.1157823641810305,3.858740438068545,3.9187939884824794,4.317197182852571,4.56636193909595,4.5385618728144,4.559716405629293,4.539088212656953,4.337372033755627,4.244652383730344,4.30267349801829,4.286942797854058,4.170754333569379,4.003757957081987,3.8722990305751788,3.8372234120931976,3.8103358605656843,3.7561947506300215,3.732710860763568,3.750166487206463,3.8070764993426267,3.876511507734396,3.8777459135571752,3.8058940162393697,3.728665107341852,3.649622940621223,3.566976648687259,3.5316623853158804,3.5226723687678567,3.4858066954734634,3.3316700475072833,2.835951804720253,2.0888165762006783,1.5779823984374333,1.4331745436459824,1.400756609990019,1.3578986403624684,1.3148969424837627,1.2857387180942546,1.2753098583464488,1.2674113979180643,1.2544835560399048,1.2506595788025467,1.2476967967624513,1.2281830779577394,1.2113741294173386,1.221461990438386,1.2412877121627877,1.2371031110589998,1.2167999475322864,1.2131959169166435,1.2244736961867235,1.22870852803772,1.2258188812788393,1.2258116553948761,1.2235266723648532,1.2168221565949144,1.2123274863565259,1.2040848441046275,1.1928287704056162,1.1914702995763538,1.1990170798050908,1.2010051060338576,1.1896379022134338,1.1773439657094824,1.1722517042843543,1.1674643057616418,1.1638849922185177,1.1612767883326764,1.1573533614711906,1.156643129750144,1.1546671027409172,1.1486977809350396,1.1456323903440047,1.1462291227313446,1.149669341992105,1.1517688598421116,1.1517287100886466,1.1573879821760482,1.1613670004082997,1.157943213091296,1.1552701650450845,1.1457283728222185,1.123452463617989,1.1080515086771308,1.1083386930343424,1.1142932214715864,1.1246235202211818,1.132788024358528,1.1303135398375197,1.1279396276729756,1.1311396942345164,1.127865224361652,1.1132798369818366,1.1004431192685324,1.0962951765606925,1.0890639958716746,1.0761337152000088,1.0686378821674165,1.0641682045240126,1.1877897948585674,1.7010709419919396,2.453239401237809,2.9210965679367815,3.028742022388291,3.067872336354825,3.1365450784026248,3.1943461708896415,3.2256371463237348,3.2268290820708976,3.1934615436475116,3.1360543228032447,3.0774297773957224,3.0231751231850215,2.964500554331988,2.897690669677756,2.8253997190431717,2.748596111483316,2.6620553467057397,2.5596732441139736,2.4450982590336166,2.3346644428174663,2.235487918887213,2.1325838476418686,2.0179149814130075,1.9007269004751746,1.7869582028543436,1.6775451645751558,1.5724365881740816,1.4701625373971734,1.372424742883747,1.2816800448301486,1.1976976984226806,1.119861189027309,1.0483100782957633,0.9843193698367515,0.9276194786661264,0.8763533008974269,0.8305492626815516,0.7898073330433948,0.7529727528256371,0.7197085918104957,0.6890209628466625,0.6605108333578531,0.6357004171903994,0.6165179612470942,0.6018317192283577,0.5867392084500979,0.5691117164481552,0.5530994689264934,0.5362135281214907,0.5052560754945875,0.4645271332186307,0.436768216565664,0.4273987795364812,0.42551939867111954,0.42410735823758694,0.4212898876127885,0.4178754206006827,0.4134546376411819,0.4083336695104748,0.4068818703380545,0.40851631755573314,0.4080301144144668,0.4060375820314126,0.4056866568275351,0.4078748077354804,0.41098314975814626,0.4099230539910167,0.40514547969719716,0.40370231243420934,0.40543955590221875,0.4054370971737561,0.4055108719012702,0.4080470061719325,0.4104845920617787,0.41212017011087393,0.41335528575958846,0.41355534606695443,0.4141759254890017,0.41669985874350496,0.41871863911362295,0.41812058528585505,0.41879023629502493,0.42213278308589286,0.42545467778363255,0.4314466349669212,0.44012318906361675,0.44392690430178694,0.4402700298692432,0.4343101504464675,0.43105847473834236,0.43235985697789703,0.4368140338810038,0.4405443392346483,0.44153749048070096,0.43978519620873296,0.43895288596292936,0.4455201333484923,0.4552416199565978,0.4435042256640301,0.3778934848754155,0.2779271621084243,0.21197280169424002,0.1925253744650747,0.18468870680031327,0.1823571908594187,0.18864576355796608,0.1910841435850373,0.17960357601728982,0.16461210563886122,0.16040329184168348,0.16052200573924114,0.15798059718043952,0.1575357662074171,0.1636631289767968,0.17382969378900096,0.17733084493619444,0.17201772075896649,0.168710785148217,0.1755215866604364,0.1869225874974449,0.18904631034767558,0.18328468303275539,0.18264625683048816,0.1920422719251677,0.21014971527303833,0.22670882376485313,0.2307436072246842,0.22402693432122414,0.20281410796645027,0.17037821743676052,0.1592521409704857,0.18043051309877065,0.20955482044325885,0.23901176448676967,0.2606913356942692,0.2426828276089546,0.20072364616117813,0.19795267942002934,0.2738496854743956,0.4389247753588874,0.6004798250622019,0.6434819137717187,0.6452873865381857,0.6871356113244778,0.7044169986338736,0.6878552569327865,0.6716861790305403,0.6631614206217209,0.6926146236688248,0.7183500741023042,0.6879262666708936,0.6395527553581162,0.6058661308174415,0.6445341668319882,0.7382587083547673,0.7521908780721368,0.7851200955973094,1.0217593126932583,1.2614629761925942,1.2753914959577106,1.1900925287774975,1.1031486518662885,0.9629409420050153,0.8714548003340596,0.9937331110575693,1.254893632516848,1.4087135201457486,1.3453429759514988,1.207176276691124,1.1269205626299559,1.019068208460679,0.8152175591958553,0.6166020180183662,0.5604022669357545,0.6605456151672676,0.7567495806138821,0.75712140832609,0.7790784231383514,0.8694874077006605,0.9249963864600157,0.9058174352780086,0.7995172197608166,0.6705674051002849,0.6847120201109232,0.7438952231143091,0.6915893706895383,0.6850025757624413,0.7961217410303392,0.914065508865514,0.9903126373183374,0.9515777091001113,0.8838037081027711,1.0015380218419028,1.1636600653862075,1.1441381681645775,1.0344026626820504,0.9992932819336477,1.0659950205932467,1.15080344379286,1.2178923075736612,1.2037348444558682,1.0168997661928902,0.8505993547173186,0.854246673142457,0.8689132019385788,0.9017443558117209,1.0585685692427245,1.1410593565901714,1.0192363153239123,0.9607720190647383,1.068278647604107,1.0784015639723599,0.9474484381310565,0.9085760710221259,1.0519213131922966,1.24032147416975,1.2515417235132351,1.1132626767719027,1.1846385038657226,1.4726756178949443,1.5659710289031388,1.3370767014711276,1.049060619681551,1.0307371378257795,1.2909883106907987,1.496710324986437,1.4116017821110118,1.1416388760528389,0.9337846776018713,0.8366969632856448,0.7963557632545498,0.8827990404919825,1.1372284596624762,1.4247882054743797,1.5099090715853372,1.3827186350776246,1.4752340244518993,1.9486869432838039,2.1828027949475173,1.8793319103596922,1.5911243169451104,1.5171519787345276,1.3840134921996747,1.1920025165264423,1.4550265459947183
