,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
n_hospitalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,5.0,8.0,8.0,9.0,9.0,10.0,15.0,17.0,18.0,19.0,24.0,31.0,33.0,37.0,41.0,49.0,57.0,62.0,72.0,89.0,102.0,132.0,156.0,183.0,214.0,255.0,300.0,351.0,435.0,514.0,632.0,757.0,890.0,1071.0,1269.0,1505.0,1778.0,2126.0,2478.0,2959.0,3451.0,4102.0,4838.0,5663.0,6654.0,7791.0,9000.0,10398.0,12082.0,13886.0,15854.0,17917.0,20034.0,22302.0,24525.0,26844.0,29069.0,31099.0,33033.0,34701.0,36180.0,37269.0,38166.0,38669.0,38766.0,38643.0,38184.0,37457.0,36696.0,35704.0,34421.0,32944.0,31448.0,29785.0,28183.0,26473.0,24907.0,23260.0,21578.0,20062.0,18615.0,17218.0,15935.0,14660.0,13414.0,12319.0,11395.0,10499.0,9653.0,8867.0,8150.0,7480.0,6847.0,6336.0,5872.0,5423.0,5013.0,4621.0,4267.0,3992.0,3746.0,3499.0,3264.0,3080.0,2871.0,2670.0,2532.0,2348.0,2199.0,2097.0,1973.0,1866.0,1787.0,1676.0,1591.0,1508.0,1432.0,1343.0,1259.0,1201.0,1147.0,1098.0,1047.0,986.0,938.0,886.0,852.0,800.0,769.0,728.0,689.0,664.0,640.0,622.0,610.0,598.0,576.0,549.0,521.0,486.0,452.0,435.0,419.0,396.0,368.0,341.0,319.0,310.0,290.0,271.0,265.0,250.0,233.0,220.0,214.0,206.0,198.0,188.0,178.0,172.0,165.0,153.0,148.0,147.0,139.0,132.0,119.0,110.0,109.0,106.0,100.0,96.0,87.0,82.0,73.0,70.0,66.0,66.0,61.0,57.0,55.0,53.0,52.0,51.0,48.0,45.0,41.0,40.0,38.0,35.0,34.0,34.0,34.0,32.0,31.0,32.0,30.0,29.0,27.0,27.0,26.0,20.0,16.0,17.0,15.0,13.0,14.0,12.0,9.0,8.0,9.0,10.0,8.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
n_infectious,0.0,0.0,0.0,3.0,3.0,7.0,10.0,12.0,18.0,20.0,26.0,32.0,39.0,47.0,52.0,68.0,82.0,94.0,118.0,141.0,183.0,209.0,248.0,279.0,320.0,362.0,424.0,499.0,589.0,692.0,814.0,964.0,1155.0,1363.0,1597.0,1880.0,2195.0,2602.0,3058.0,3587.0,4186.0,4947.0,5878.0,6952.0,8244.0,9739.0,11586.0,13717.0,16381.0,19468.0,23037.0,27365.0,32528.0,38679.0,45784.0,54239.0,64175.0,75951.0,89570.0,105295.0,123286.0,143456.0,166704.0,192429.0,220728.0,252018.0,285869.0,321010.0,356916.0,392577.0,427485.0,460719.0,491102.0,517665.0,539553.0,555944.0,566734.0,572234.0,572040.0,566701.0,556012.0,541392.0,523255.0,502631.0,479895.0,455358.0,430462.0,404836.0,379965.0,355779.0,332580.0,310908.0,291068.0,272824.0,255903.0,240523.0,226327.0,213192.0,201136.0,189836.0,179394.0,169465.0,160158.0,151272.0,143041.0,135180.0,127663.0,120575.0,113735.0,107189.0,101368.0,95757.0,90570.0,85813.0,81254.0,77069.0,73213.0,69460.0,66096.0,62734.0,59529.0,56693.0,54127.0,51573.0,49046.0,46683.0,44450.0,42409.0,40419.0,38464.0,36836.0,35138.0,33491.0,32055.0,30638.0,29288.0,27934.0,26685.0,25480.0,24276.0,23228.0,22306.0,21402.0,20431.0,19576.0,18713.0,17932.0,17152.0,16466.0,15787.0,15104.0,14458.0,13832.0,13198.0,12687.0,12128.0,11587.0,11082.0,10575.0,10127.0,9647.0,9233.0,8728.0,8346.0,7987.0,7662.0,7282.0,6942.0,6690.0,6315.0,6015.0,5730.0,5454.0,5212.0,4934.0,4663.0,4466.0,4269.0,4082.0,3832.0,3658.0,3472.0,3308.0,3143.0,2950.0,2824.0,2653.0,2515.0,2339.0,2232.0,2086.0,1986.0,1856.0,1767.0,1649.0,1562.0,1499.0,1412.0,1310.0,1209.0,1142.0,1075.0,1017.0,980.0,934.0,885.0,809.0,757.0,712.0,676.0,649.0,614.0,582.0,563.0,526.0,504.0,461.0,447.0,421.0,391.0,359.0,341.0,322.0,311.0,298.0,288.0,281.0,270.0,255.0,240.0,226.0,211.0,192.0,176.0,164.0,156.0,148.0,129.0,117.0,112.0,106.0,96.0,89.0,80.0,79.0,82.0,71.0,67.0,62.0,61.0,59.0,58.0,56.0,60.0,60.0,58.0,52.0,55.0,55.0,54.0,54.0,55.0,56.0,60.0,59.0,61.0,57.0,60.0,56.0,57.0,51.0,52.0,55.0,56.0,57.0,53.0,48.0,49.0,48.0,44.0,45.0,42.0,42.0,41.0,37.0,38.0,38.0,38.0,39.0,40.0,37.0,36.0,38.0,35.0,34.0,32.0,33.0,33.0,29.0,31.0,27.0,29.0,30.0,31.0,30.0,31.0,37.0,40.0,42.0,42.0,43.0,44.0,47.0,48.0,48.0,48.0,46.0,44.0,48.0,48.0,44.0,41.0,39.0,42.0,47.0,47.0,47.0,48.0,47.0,44.0,43.0,50.0,50.0,50.0,50.0,51.0,53.0,53.0,55.0,52.0,53.0,52.0,50.0,53.0,55.0,52.0,54.0,55.0,54.0,53.0,54.0,57.0,58.0,58.0,57.0,55.0,54.0,55.0,54.0,52.0,51.0,53.0,54.0,52.0,55.0,56.0
mobility,1.0,1.0102659212441951,1.0205275143658017,1.0307804530669715,1.0410204146985689,1.0512430820826035,1.061444145332357,1.0716193036694357,1.0817642672369825,1.0918747589082851,1.1019465160900173,1.1119752925193516,1.1219568600541885,1.131887010455746,1.1417615571627553,1.1515763370565217,1.1613272122160974,1.1710100716628344,1.1806208330935766,1.1901554446017628,1.1996098863857154,1.2089801724433917,1.2182623522528866,1.2274525124379772,1.236546778418005,1.2455413160414042,1.2544323332021825,1.263216081438678,1.2718888575139133,1.2804470049768848,1.2888869157041256,1.2972050314208934,1.305397845201344,1.3134619029470533,1.3213938048432696,1.329190206792279,1.3368478218232787,1.3443634214781692,1.3517338371726748,1.3589559615322209,1.3660267497020073,1.3729432206307215,1.3797024583273536,1.3863016130905794,1.3927379027101994,1.3990086136401199,1.4051111021423868,1.4110427954017892,1.4168011926105597,1.4223838660227182,1.4277884619776116,1.4330127018922192,1.438054383221807,1.4429113803885198,1.4475816456775312,1.4520632101003579,1.45635418422499,1.4604527589724767,1.4643572063796353,1.468065880327562,1.4715772172356387,1.474889736720739,1.478002042221359,1.4809128215864096,1.4836208476284207,1.4861249786409247,1.4884241588798004,1.4905174190083763,1.492403876506104,1.4940827360406297,1.4955532898031068,1.4968149178066088,1.4978670881475171,1.4987093572297716,1.4993413699518905,1.499762859856683,1.4999736492435867,1.4999736492435867,1.499762859856683,1.4993413699518905,1.4987093572297716,1.4978670881475173,1.496814917806609,1.4955532898031068,1.4940827360406297,1.492403876506104,1.4905174190083763,1.4884241588798004,1.4861249786409247,1.4836208476284207,1.4809128215864096,1.478002042221359,1.474889736720739,1.4715772172356387,1.468065880327562,1.4643572063796353,1.460452758972477,1.45635418422499,1.4520632101003579,1.4475816456775312,1.4429113803885198,1.438054383221807,1.4330127018922194,1.4277884619776116,1.4223838660227182,1.4168011926105597,1.4110427954017892,1.4051111021423868,1.3990086136401199,1.3927379027101996,1.3863016130905794,1.3797024583273534,1.3729432206307217,1.3660267497020073,1.3589559615322209,1.3517338371726748,1.3443634214781692,1.3368478218232787,1.329190206792279,1.3213938048432698,1.3134619029470533,1.305397845201344,1.2972050314208934,1.2888869157041256,1.280447004976885,1.2718888575139133,1.263216081438678,1.2544323332021825,1.2455413160414042,1.236546778418005,1.2274525124379774,1.2182623522528866,1.2089801724433917,1.1996098863857154,1.1901554446017628,1.1806208330935766,1.1710100716628342,1.1613272122160974,1.1515763370565217,1.1417615571627555,1.131887010455746,1.1219568600541887,1.1119752925193516,1.1019465160900173,1.0918747589082851,1.0817642672369827,1.071619303669436,1.0614441453323569,1.0512430820826035,1.0410204146985689,1.0307804530669713,1.0205275143658017,1.0102659212441953,1.0,0.9897340787558048,0.9794724856341984,0.9692195469330287,0.9589795853014315,0.9487569179173965,0.9385558546676429,0.9283806963305644,0.9182357327630175,0.9081252410917149,0.898053483909983,0.8880247074806488,0.8780431399458116,0.868112989544254,0.8582384428372445,0.8484236629434783,0.8386727877839025,0.8289899283371657,0.8193791669064237,0.8098445553982372,0.8003901136142847,0.7910198275566085,0.7817376477471134,0.7725474875620231,0.7634532215819949,0.7544586839585958,0.7455676667978176,0.7367839185613221,0.7281111424860868,0.7195529950231152,0.7111130842958745,0.7027949685791067,0.6946021547986563,0.6865380970529469,0.6786061951567302,0.670809793207721,0.6631521781767213,0.6556365785218308,0.6482661628273252,0.6410440384677791,0.6339732502979928,0.6270567793692784,0.6202975416726464,0.6136983869094208,0.6072620972898006,0.6009913863598803,0.5948888978576132,0.5889572045982108,0.5831988073894403,0.5776161339772817,0.5722115380223884,0.5669872981077808,0.5619456167781933,0.5570886196114802,0.552418354322469,0.5479367898996419,0.5436458157750099,0.5395472410275232,0.5356427936203647,0.5319341196724381,0.5284227827643613,0.525110263279261,0.5219979577786412,0.5190871784135904,0.5163791523715793,0.5138750213590753,0.5115758411201996,0.5094825809916237,0.5075961234938959,0.5059172639593703,0.5044467101968932,0.5031850821933912,0.5021329118524827,0.5012906427702284,0.5006586300481095,0.500237140143317,0.5000263507564134,0.5000263507564134,0.500237140143317,0.5006586300481095,0.5012906427702284,0.5021329118524827,0.5031850821933912,0.5044467101968932,0.5059172639593703,0.5075961234938959,0.5094825809916237,0.5115758411201996,0.5138750213590753,0.5163791523715792,0.5190871784135904,0.5219979577786411,0.525110263279261,0.5284227827643613,0.5319341196724381,0.5356427936203647,0.539547241027523,0.5436458157750098,0.5479367898996421,0.5524183543224689,0.5570886196114799,0.5619456167781932,0.5669872981077807,0.5722115380223882,0.5776161339772816,0.5831988073894403,0.5889572045982107,0.5948888978576131,0.6009913863598801,0.6072620972898006,0.6136983869094206,0.6202975416726463,0.6270567793692783,0.6339732502979927,0.6410440384677788,0.648266162827325,0.6556365785218305,0.6631521781767211,0.670809793207721,0.6786061951567306,0.6865380970529467,0.6946021547986562,0.7027949685791064,0.7111130842958744,0.7195529950231151,0.7281111424860864,0.7367839185613219,0.7455676667978175,0.7544586839585955,0.7634532215819947,0.7725474875620231,0.7817376477471133,0.7910198275566083,0.8003901136142847,0.809844555398237,0.8193791669064234,0.8289899283371653,0.8386727877839023,0.8484236629434782,0.8582384428372442,0.8681129895442538,0.8780431399458116,0.8880247074806484,0.8980534839099827,0.908125241091715,0.9182357327630173,0.9283806963305642,0.938555854667643,0.9487569179173962,0.9589795853014311,0.9692195469330281,0.979472485634198,0.989734078755805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
