,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
n_hospitalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,4.0,6.0,7.0,7.0,9.0,12.0,14.0,16.0,17.0,19.0,22.0,22.0,29.0,29.0,35.0,37.0,45.0,47.0,51.0,63.0,77.0,83.0,91.0,106.0,121.0,137.0,159.0,172.0,197.0,223.0,249.0,288.0,310.0,339.0,379.0,421.0,470.0,514.0,567.0,627.0,674.0,702.0,750.0,796.0,840.0,885.0,923.0,948.0,988.0,1033.0,1064.0,1105.0,1122.0,1132.0,1155.0,1198.0,1209.0,1232.0,1261.0,1294.0,1331.0,1350.0,1357.0,1371.0,1381.0,1407.0,1451.0,1485.0,1536.0,1543.0,1578.0,1627.0,1640.0,1648.0,1697.0,1705.0,1718.0,1728.0,1743.0,1768.0,1820.0,1839.0,1854.0,1877.0,1918.0,1945.0,1970.0,2007.0,2039.0,2051.0,2080.0,2111.0,2141.0,2175.0,2202.0,2239.0,2277.0,2299.0,2333.0,2347.0,2374.0,2401.0,2425.0,2471.0,2505.0,2560.0,2590.0,2678.0,2841.0,2987.0,3184.0,3441.0,3709.0,4076.0,4480.0,4933.0,5489.0,6042.0,6710.0,7453.0,8280.0,9148.0,10054.0,10920.0,11910.0,12946.0,14110.0,15325.0,16552.0,17753.0,18873.0,20136.0,21259.0,22322.0,23239.0,24125.0,25004.0,25756.0,26321.0,26823.0,27089.0,27190.0,27167.0,26977.0,26699.0,26285.0,25784.0,25248.0,24580.0,23822.0,22909.0,22075.0,21173.0,20204.0,19257.0,18273.0,17286.0,16292.0,15310.0,14388.0,13519.0,12633.0,11759.0,10979.0,10238.0,9503.0,8973.0,8269.0,7671.0,7074.0,6486.0,5980.0,5497.0,5039.0,4670.0,4314.0,3993.0,3689.0,3408.0,3136.0,2900.0,2684.0,2474.0,2273.0,2118.0,1932.0,1784.0,1646.0,1533.0,1418.0,1304.0,1217.0,1137.0,1066.0,1001.0,942.0,876.0,833.0,772.0,744.0,709.0,666.0,618.0,574.0,543.0,513.0,486.0,453.0,426.0,393.0,369.0,338.0,312.0,286.0,269.0,247.0,231.0,219.0,201.0,182.0,169.0,163.0,148.0,141.0,131.0,124.0,112.0,99.0,94.0,88.0,85.0,73.0,63.0,52.0,45.0,39.0,32.0,28.0,24.0,21.0,21.0,18.0,16.0,15.0,14.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0
n_infectious,0.0,0.0,0.0,3.0,3.0,7.0,10.0,13.0,16.0,20.0,27.0,32.0,38.0,43.0,47.0,52.0,58.0,70.0,86.0,95.0,110.0,132.0,147.0,174.0,210.0,237.0,269.0,307.0,370.0,415.0,476.0,556.0,624.0,723.0,841.0,953.0,1083.0,1215.0,1360.0,1553.0,1778.0,1963.0,2236.0,2512.0,2832.0,3155.0,3571.0,4038.0,4553.0,5109.0,5742.0,6526.0,7438.0,8432.0,9263.0,9801.0,10290.0,10650.0,10978.0,11285.0,11569.0,11802.0,11944.0,12159.0,12293.0,12497.0,12678.0,12871.0,13040.0,13223.0,13478.0,13727.0,13981.0,14249.0,14564.0,14777.0,15086.0,15374.0,15578.0,15891.0,16212.0,16462.0,16790.0,17053.0,17300.0,17705.0,17964.0,18369.0,18750.0,19104.0,19349.0,19582.0,19867.0,20170.0,20474.0,20800.0,21130.0,21393.0,21689.0,21906.0,22247.0,22564.0,22971.0,23251.0,23455.0,23790.0,24064.0,24355.0,24688.0,25004.0,25318.0,25635.0,25891.0,26085.0,26303.0,26666.0,26919.0,27171.0,27405.0,27681.0,28023.0,28181.0,28403.0,28947.0,30547.0,33534.0,37589.0,42127.0,47298.0,53399.0,60285.0,68155.0,76855.0,86509.0,96862.0,108497.0,120814.0,134201.0,148006.0,163116.0,178965.0,195271.0,211576.0,228272.0,244890.0,261298.0,277153.0,291801.0,305450.0,317506.0,327892.0,335876.0,342105.0,346520.0,348411.0,348503.0,346100.0,342203.0,336574.0,329239.0,321066.0,311718.0,301569.0,290923.0,279606.0,268278.0,257034.0,245339.0,233972.0,222944.0,212080.0,201261.0,190830.0,181023.0,171271.0,161503.0,151854.0,142433.0,133622.0,125090.0,116992.0,109270.0,102017.0,95168.0,88764.0,82823.0,77354.0,72222.0,67434.0,62953.0,58528.0,54541.0,50942.0,47559.0,44517.0,41657.0,39007.0,36536.0,34315.0,32095.0,30009.0,28146.0,26463.0,24883.0,23277.0,21866.0,20551.0,19250.0,18078.0,17026.0,15922.0,14967.0,14052.0,13214.0,12486.0,11770.0,11119.0,10495.0,9955.0,9427.0,8899.0,8425.0,7940.0,7509.0,6989.0,6554.0,6054.0,5544.0,5099.0,4634.0,4208.0,3766.0,3392.0,3054.0,2711.0,2447.0,2149.0,1890.0,1647.0,1458.0,1283.0,1122.0,1007.0,910.0,822.0,733.0,663.0,612.0,540.0,478.0,416.0,366.0,331.0,283.0,256.0,226.0,194.0,176.0,149.0,138.0,129.0,120.0,109.0,95.0,85.0,80.0,76.0,63.0,63.0,60.0,58.0,55.0,56.0,56.0,60.0,58.0,58.0,58.0,57.0,63.0,61.0,67.0,71.0,64.0,64.0,63.0,65.0,63.0,60.0,60.0,59.0,56.0,53.0,54.0,52.0,51.0,56.0,59.0,64.0,65.0,63.0,62.0,61.0,61.0,59.0,60.0,62.0,59.0,62.0,61.0,63.0,59.0,57.0,61.0,63.0,59.0,59.0,59.0,62.0,61.0,54.0,54.0,57.0,58.0,53.0,50.0,47.0,54.0,52.0,47.0,47.0,50.0,51.0,54.0,52.0,53.0,47.0,48.0,44.0,47.0,44.0,40.0,40.0,39.0,39.0,36.0,40.0,38.0,44.0,49.0,54.0,56.0,62.0,67.0,77.0,81.0,87.0,96.0,99.0,98.0,108.0,112.0,118.0,118.0,117.0,127.0
mobility,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eff,5.317751133606777,5.5976327722176595,5.876962056503219,5.935594401871321,5.602541742733837,5.008430138972519,4.496653865409901,4.240021253035437,4.196539107698541,4.251740168671837,4.306013695583004,4.335449707480083,4.338451658687658,4.330141347628959,4.438297780051059,4.716243612365455,4.96036989267667,5.052252067827237,5.009282017602961,4.7166929912987055,4.285888590762704,3.947989861650035,3.6657593642773274,3.62657931978825,3.970770167034678,4.236075758330186,4.1659791519212535,4.006899448347934,3.8409484110105203,3.7228373601750016,3.7657813721824933,3.716813792816865,3.456704093051387,3.2899549312105494,3.328421959165893,3.4244823811760603,3.4462086086429915,3.374295256204504,3.292490323741021,3.236584692510728,3.230001838301507,3.2980558342111572,3.363615499990342,3.3822560430551927,3.3943282925642837,3.405815635775107,3.425978918132397,3.4846410201167193,3.540745079126537,3.395836518671512,2.820459442528188,2.0293910805933164,1.5442715016721755,1.43485064167034,1.4144590303640328,1.3679659362059333,1.3170663671480292,1.2762425891800167,1.2579792645343,1.2578426899458974,1.2567052525585176,1.2501467187679631,1.2440134429797247,1.2422834042582553,1.2444178221220399,1.2451719378754493,1.245962670285419,1.2555750466477753,1.2721123785255082,1.2768170101089125,1.2655354542854185,1.2592365281643296,1.26330128406147,1.2629964257741266,1.262013914160212,1.2717603230983545,1.2772129203261824,1.2656925112481985,1.2530369047112244,1.2598607545573013,1.2871573422612774,1.3082586260353444,1.303724631690778,1.2827783554530097,1.2574884762537977,1.241577902331579,1.2427120766124493,1.2463425522619282,1.2390866897554518,1.2266233327835305,1.2230633652725311,1.2291190615072398,1.23012160005937,1.2231051313296568,1.2175093657856617,1.214188409410113,1.2131360581293482,1.2157516429626967,1.2124559661249368,1.201306729319105,1.197827708900215,1.2095217156500466,1.2191163457257217,1.2064021453454208,1.1851262608460706,1.1794900400511998,1.1839870684483285,1.1860407168248839,1.1841343440465848,1.180456347782106,1.1799265676219213,1.179567697218899,1.1723506757281916,1.1629520378803417,1.156611141940556,1.150647888599268,1.1461383018265872,1.1464480899452092,1.1473341000256296,1.287515735510882,1.8483194847268516,2.660574521189071,3.141773370210573,3.2130322768277266,3.218277942665767,3.2657102772092608,3.3081805467053695,3.338737361888088,3.344628453863243,3.3049317117187087,3.220457569826751,3.1186695056034166,3.022514069999565,2.927733774451739,2.8300602449371177,2.7331663473713097,2.630263144637119,2.5157070949273486,2.3932722462133964,2.2675724662925263,2.142776776882458,2.0188152456217914,1.8931090591750033,1.7695205025774234,1.6538429772100183,1.5435654749875154,1.4331607588221924,1.3253194713492873,1.2250522231306809,1.132408383608963,1.0483133086507532,0.9750153400938865,0.9101396976678636,0.849907486787097,0.7953938055619668,0.7495870412440611,0.7119692189158323,0.6790795843537358,0.6496494302471169,0.6247114917994367,0.6026793556365059,0.5817938373483622,0.563944629446209,0.5499120136124582,0.5375723846208628,0.5262765281343951,0.5167040616156079,0.5090817966577763,0.5024654199231773,0.4902576404769702,0.4641096400521591,0.43212579103408466,0.4126023078874675,0.40613978798046785,0.4029359852779998,0.40252815619877563,0.40515020701353877,0.4049387041518484,0.4003860513286383,0.39808237106382366,0.4013011627843568,0.40420626665141923,0.4042458599066924,0.4058924392467476,0.40793533487906497,0.40664404856871567,0.4056855868921308,0.4098704049628911,0.4165316699214224,0.41889205296893406,0.417068335726783,0.4172792477631923,0.42196008128978035,0.4284325970988507,0.43350030892877917,0.4375617206780183,0.44209254608757326,0.44641803130667024,0.4512676673448391,0.45478024143312995,0.44979259553570805,0.43834044699244207,0.4341463716083285,0.441103616570285,0.4484068205468665,0.4503148485300408,0.45262856490763476,0.4589778624863082,0.4664370958448779,0.475112878825985,0.4844374054683453,0.4885295649255842,0.4857374764452797,0.4805492625574845,0.4794706640525148,0.4844954502021144,0.48901269036651074,0.48854065109876293,0.48746268936402115,0.47030421373241965,0.3976086104530478,0.2886931509489437,0.2231016860677175,0.21923135498817098,0.22869857492327858,0.2278181425533801,0.22388551069043097,0.21577275768110055,0.2025878134399449,0.1977707052986273,0.20285275247238543,0.20176081196582513,0.19466980522387553,0.197432949324494,0.2067062196133667,0.2057999582519711,0.19443442451142606,0.18034467684690858,0.167188235557026,0.16777898112440387,0.1923190252691752,0.21939416655558705,0.21951185496513392,0.20536724237537674,0.2101312359870533,0.22355348937643008,0.20827048613388008,0.16408147584505614,0.12731656603551306,0.12614476866105687,0.14293655285388274,0.14603352010033338,0.16725364349039032,0.24226439637808275,0.32384955381230446,0.35854288613617147,0.33580499370641914,0.2495582847684345,0.14720442379182486,0.16054861722165042,0.34783908069455,0.5309270927444673,0.5646370848077165,0.639842804594071,0.8001328687583603,0.7572906017807275,0.6145522604387476,0.706683371668571,0.7859523466456005,0.5702581775824916,0.5165185346575871,0.934394070802829,1.3134881236336449,1.3050461533781772,1.155053312437875,1.026013047354562,0.9226397112796181,0.9061106771056415,0.9653319541313837,0.9764237494709789,0.8703457474677251,0.8010788251727456,0.8513047002411539,0.8043024350556367,0.6232214174571334,0.5418309549235889,0.6210679404173725,0.7611246496184259,0.856082492157811,0.8577150265696486,0.9142993947297686,1.2067242216287375,1.5547078948780242,1.6815294964075491,1.6342304236020113,1.454511975683317,1.1756283134707781,1.0338300052361393,1.0170979282777586,0.8762110181103605,0.7086251366764543,0.7625765644057818,0.941479656827969,0.9613000597104697,0.8073678003208292,0.8072845748850286,1.0603408394256142,1.2216450070294993,1.1345361901710487,1.0714322800443894,1.1574993395386566,1.135787116086066,0.9269780987511195,0.7526792984767335,0.6650873024366803,0.6763643933419705,0.8867364979082443,1.1181911268349563,1.0854997664341346,0.9154742135583985,0.8797811893860761,0.8890750778527867,0.8301962634447221,0.8043127762026582,0.8590757660024626,0.9672792949101108,1.0990342721747544,1.235837893433128,1.2934448822936255,1.13877299939646,0.8608597538652633,0.6647815026725464,0.5638922367177083,0.5803414427767404,0.7746179432408445,0.9052783146025214,0.8105533753330042,0.7945151922324379,1.0625110212101005,1.378109695579374,1.4784579586936613,1.4203396826859818,1.3160070652728313,1.2928856688686925,1.7085110393344844,2.50682322209985,2.9272982508352388,2.5285521041688757,1.9263891640791322,1.8319971280165441,2.0141351011685806,2.1116898292418984,2.1246686589316366,1.948796671169202,1.6428275606526215,1.4741245026208645,1.5351851582622724,1.6802795957256418,1.615056811260094,1.304076020030609,1.0979061496179519,1.1787231933655644,1.3573337817535323,1.4299626099886467,1.0946511814736912,1.613533080093504
