,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
n_hospitalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,8.0,9.0,11.0,11.0,12.0,14.0,16.0,17.0,20.0,23.0,27.0,31.0,30.0,34.0,39.0,44.0,49.0,54.0,63.0,66.0,74.0,83.0,85.0,98.0,111.0,122.0,133.0,147.0,163.0,177.0,199.0,225.0,248.0,279.0,308.0,337.0,384.0,437.0,498.0,566.0,638.0,708.0,773.0,846.0,951.0,1051.0,1176.0,1292.0,1408.0,1563.0,1750.0,1946.0,2150.0,2352.0,2602.0,2861.0,3116.0,3397.0,3737.0,4121.0,4513.0,4911.0,5317.0,5749.0,6200.0,6667.0,7134.0,7591.0,8090.0,8564.0,9014.0,9429.0,9798.0,10210.0,10534.0,10942.0,11256.0,11487.0,11697.0,11805.0,11905.0,11958.0,12002.0,12036.0,11949.0,11811.0,11612.0,11433.0,11163.0,10865.0,10560.0,10232.0,9875.0,9441.0,9063.0,8656.0,8205.0,7805.0,7424.0,7030.0,6640.0,6241.0,5951.0,5590.0,5215.0,4895.0,4577.0,4294.0,4018.0,3751.0,3497.0,3247.0,3034.0,2828.0,2622.0,2428.0,2260.0,2075.0,1910.0,1747.0,1621.0,1488.0,1388.0,1289.0,1193.0,1098.0,1011.0,954.0,872.0,812.0,747.0,686.0,642.0,602.0,548.0,511.0,463.0,431.0,396.0,363.0,340.0,314.0,288.0,271.0,249.0,237.0,220.0,209.0,192.0,177.0,171.0,164.0,158.0,150.0,137.0,122.0,111.0,101.0,95.0,87.0,81.0,77.0,69.0,63.0,59.0,58.0,52.0,47.0,48.0,47.0,40.0,39.0,36.0,32.0,30.0,30.0,25.0,22.0,20.0,21.0,19.0,18.0,19.0,20.0,17.0,17.0,16.0,15.0,15.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,10.0,9.0,9.0,8.0,6.0,6.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
n_infectious,0.0,0.0,0.0,3.0,3.0,7.0,10.0,13.0,16.0,20.0,26.0,30.0,34.0,39.0,43.0,43.0,48.0,56.0,64.0,75.0,79.0,92.0,94.0,94.0,122.0,137.0,154.0,170.0,187.0,220.0,257.0,294.0,328.0,370.0,405.0,457.0,507.0,577.0,645.0,737.0,842.0,950.0,1052.0,1191.0,1325.0,1473.0,1638.0,1820.0,2024.0,2269.0,2596.0,2909.0,3259.0,3633.0,4095.0,4542.0,5097.0,5695.0,6321.0,7050.0,7866.0,8835.0,9879.0,11093.0,12337.0,13821.0,15377.0,17077.0,19073.0,21178.0,23589.0,26072.0,28730.0,32023.0,35541.0,39282.0,43331.0,47787.0,52576.0,57656.0,63347.0,69491.0,75854.0,82805.0,90250.0,97982.0,106301.0,115054.0,123710.0,132390.0,141531.0,151281.0,160224.0,168921.0,177548.0,185431.0,192957.0,199618.0,205629.0,210639.0,214264.0,217482.0,219160.0,219942.0,219710.0,217937.0,215545.0,211916.0,207278.0,202098.0,196198.0,189710.0,182531.0,175082.0,167594.0,159902.0,151860.0,144212.0,136793.0,128911.0,121603.0,114475.0,107631.0,101058.0,94881.0,88930.0,83369.0,77868.0,72634.0,67647.0,62894.0,58591.0,54498.0,50594.0,46896.0,43554.0,40398.0,37498.0,34730.0,32270.0,29914.0,27664.0,25673.0,23749.0,22057.0,20481.0,18997.0,17513.0,16110.0,14842.0,13801.0,12798.0,11882.0,11006.0,10163.0,9454.0,8776.0,8013.0,7464.0,6976.0,6406.0,5910.0,5492.0,5089.0,4717.0,4369.0,4069.0,3782.0,3541.0,3309.0,3077.0,2895.0,2698.0,2526.0,2347.0,2190.0,2035.0,1902.0,1789.0,1691.0,1586.0,1483.0,1387.0,1280.0,1233.0,1161.0,1053.0,974.0,913.0,856.0,792.0,746.0,677.0,627.0,585.0,544.0,514.0,460.0,436.0,399.0,375.0,345.0,328.0,322.0,292.0,280.0,270.0,254.0,235.0,217.0,206.0,206.0,198.0,176.0,183.0,172.0,171.0,157.0,144.0,136.0,137.0,142.0,137.0,136.0,127.0,128.0,121.0,115.0,111.0,111.0,113.0,105.0,104.0,105.0,99.0,99.0,94.0,90.0,81.0,81.0,75.0,72.0,69.0,63.0,56.0,49.0,48.0,44.0,40.0,39.0,35.0,33.0,35.0,29.0,27.0,28.0,29.0,25.0,22.0,23.0,21.0,25.0,20.0,20.0,20.0,16.0,18.0,18.0,17.0,20.0,18.0,19.0,18.0,16.0,18.0,19.0,20.0,20.0,14.0,13.0,13.0,15.0,15.0,16.0,16.0,17.0,15.0,11.0,17.0,15.0,17.0,16.0,19.0,16.0,18.0,17.0,14.0,15.0,13.0,12.0,12.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,7.0,5.0,6.0,5.0,6.0,7.0,7.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,11.0,12.0,12.0,14.0,12.0,12.0,10.0,12.0,14.0,16.0,19.0,18.0,16.0,20.0,24.0,28.0,26.0,30.0,36.0,41.0,41.0,40.0,41.0,44.0,43.0,44.0,42.0,36.0,31.0,34.0,33.0,34.0,32.0,32.0,29.0,31.0,31.0,31.0,30.0
mobility,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
