,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
n_hospitalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,9.0,9.0,12.0,15.0,18.0,22.0,26.0,31.0,37.0,44.0,45.0,51.0,51.0,58.0,64.0,67.0,71.0,84.0,88.0,96.0,113.0,134.0,169.0,186.0,203.0,230.0,256.0,274.0,300.0,334.0,354.0,369.0,389.0,414.0,441.0,463.0,478.0,499.0,524.0,540.0,557.0,583.0,594.0,605.0,615.0,616.0,614.0,637.0,646.0,658.0,680.0,704.0,704.0,715.0,729.0,746.0,749.0,758.0,771.0,785.0,800.0,799.0,798.0,804.0,815.0,831.0,850.0,873.0,889.0,910.0,929.0,943.0,945.0,968.0,978.0,987.0,1004.0,1005.0,1014.0,997.0,1003.0,988.0,994.0,1014.0,1032.0,1042.0,1036.0,1062.0,1059.0,1066.0,1065.0,1083.0,1083.0,1116.0,1126.0,1163.0,1190.0,1218.0,1292.0,1390.0,1494.0,1646.0,1769.0,1937.0,2170.0,2405.0,2652.0,2917.0,3236.0,3598.0,4016.0,4471.0,4953.0,5480.0,6040.0,6642.0,7192.0,7881.0,8455.0,9043.0,9648.0,10259.0,10840.0,11397.0,11935.0,12414.0,12780.0,13123.0,13363.0,13566.0,13621.0,13664.0,13718.0,13618.0,13402.0,13243.0,12945.0,12586.0,12217.0,11849.0,11478.0,10971.0,10500.0,9984.0,9486.0,9015.0,8523.0,8037.0,7524.0,7084.0,6628.0,6156.0,5764.0,5344.0,4963.0,4591.0,4256.0,3918.0,3617.0,3351.0,3088.0,2840.0,2610.0,2417.0,2249.0,2075.0,1921.0,1790.0,1630.0,1504.0,1383.0,1262.0,1151.0,1057.0,975.0,904.0,828.0,781.0,725.0,680.0,635.0,581.0,537.0,510.0,459.0,425.0,400.0,368.0,341.0,322.0,309.0,286.0,271.0,252.0,244.0,230.0,220.0,206.0,195.0,180.0,164.0,157.0,135.0,118.0,113.0,106.0,98.0,90.0,84.0,72.0,67.0,65.0,57.0,53.0,46.0,45.0,45.0,44.0,40.0,35.0,32.0,30.0,29.0,23.0,22.0,20.0,19.0,17.0,15.0,13.0,13.0,12.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
n_infectious,0.0,0.0,0.0,3.0,3.0,7.0,10.0,13.0,16.0,20.0,27.0,31.0,38.0,43.0,51.0,55.0,71.0,82.0,94.0,106.0,122.0,138.0,145.0,174.0,192.0,224.0,259.0,304.0,347.0,394.0,449.0,515.0,582.0,666.0,763.0,894.0,1018.0,1140.0,1284.0,1444.0,1627.0,1809.0,2030.0,2305.0,2584.0,2925.0,3334.0,3790.0,4246.0,4792.0,5412.0,6076.0,6869.0,7721.0,8479.0,8990.0,9394.0,9716.0,10034.0,10307.0,10571.0,10748.0,10895.0,11049.0,11241.0,11464.0,11632.0,11753.0,11951.0,12130.0,12335.0,12618.0,12914.0,13107.0,13254.0,13480.0,13700.0,13925.0,14221.0,14459.0,14741.0,15073.0,15399.0,15685.0,15988.0,16204.0,16464.0,16838.0,17083.0,17346.0,17591.0,17886.0,18185.0,18428.0,18629.0,18859.0,19109.0,19437.0,19742.0,19992.0,20188.0,20353.0,20560.0,20809.0,21061.0,21311.0,21588.0,21813.0,22048.0,22221.0,22286.0,22441.0,22664.0,22883.0,22881.0,23099.0,23270.0,23446.0,23618.0,23877.0,24095.0,24261.0,24332.0,24840.0,26207.0,28819.0,32197.0,36248.0,40685.0,46106.0,52223.0,59234.0,66908.0,75264.0,84683.0,94891.0,105954.0,117976.0,131156.0,144888.0,159118.0,174112.0,190060.0,206105.0,222385.0,238228.0,254028.0,269150.0,283249.0,296417.0,307979.0,317872.0,325767.0,331486.0,335468.0,337058.0,336654.0,334348.0,330375.0,324019.0,317000.0,308419.0,299097.0,289191.0,278024.0,267078.0,255447.0,243780.0,232172.0,220871.0,209937.0,199203.0,188513.0,178434.0,168598.0,158494.0,148522.0,138776.0,129594.0,120805.0,112475.0,104721.0,97320.0,90566.0,83985.0,78079.0,72611.0,67519.0,62762.0,58449.0,54403.0,50601.0,47045.0,43845.0,41057.0,38260.0,35725.0,33562.0,31342.0,29223.0,27291.0,25471.0,23856.0,22406.0,20939.0,19693.0,18456.0,17327.0,16158.0,15175.0,14365.0,13536.0,12785.0,12069.0,11358.0,10732.0,10104.0,9563.0,9034.0,8557.0,8018.0,7520.0,7128.0,6778.0,6383.0,5972.0,5550.0,5122.0,4727.0,4306.0,3889.0,3536.0,3176.0,2852.0,2516.0,2268.0,2027.0,1820.0,1602.0,1417.0,1249.0,1108.0,967.0,869.0,777.0,686.0,620.0,555.0,500.0,452.0,400.0,354.0,324.0,283.0,254.0,238.0,211.0,187.0,163.0,146.0,133.0,120.0,109.0,103.0,96.0,92.0,88.0,84.0,78.0,76.0,77.0,68.0,67.0,65.0,67.0,64.0,64.0,67.0,69.0,71.0,67.0,66.0,67.0,69.0,71.0,74.0,77.0,76.0,79.0,77.0,82.0,84.0,83.0,88.0,85.0,85.0,89.0,90.0,96.0,90.0,92.0,91.0,89.0,87.0,81.0,83.0,84.0,93.0,94.0,103.0,105.0,114.0,113.0,115.0,119.0,124.0,120.0,122.0,127.0,127.0,140.0,138.0,146.0,150.0,158.0,170.0,173.0,170.0,177.0,182.0,183.0,182.0,194.0,205.0,218.0,220.0,223.0,224.0,226.0,236.0,243.0,241.0,242.0,250.0,251.0,260.0,266.0,266.0,286.0,295.0,294.0,303.0,312.0,321.0,332.0,342.0,353.0,355.0,364.0,373.0,378.0,394.0,410.0,411.0,415.0,421.0
mobility,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
