,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365
n_hospitalized,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,7.0,8.0,9.0,9.0,14.0,16.0,16.0,18.0,19.0,23.0,26.0,29.0,34.0,42.0,43.0,48.0,53.0,59.0,68.0,77.0,90.0,97.0,107.0,117.0,139.0,147.0,176.0,200.0,233.0,266.0,310.0,366.0,414.0,481.0,530.0,593.0,683.0,760.0,850.0,941.0,1058.0,1191.0,1318.0,1496.0,1695.0,1916.0,2161.0,2408.0,2681.0,3028.0,3388.0,3812.0,4216.0,4742.0,5279.0,5832.0,6495.0,7127.0,7891.0,8749.0,9653.0,10627.0,11645.0,12722.0,13861.0,14911.0,16108.0,17203.0,18336.0,19468.0,20650.0,21733.0,22717.0,23757.0,24621.0,25413.0,26111.0,26612.0,27046.0,27357.0,27547.0,27650.0,27582.0,27383.0,27043.0,26616.0,26101.0,25438.0,24681.0,23910.0,23059.0,22273.0,21411.0,20489.0,19548.0,18573.0,17566.0,16584.0,15649.0,14738.0,13789.0,12879.0,12046.0,11241.0,10507.0,9792.0,9186.0,8581.0,7981.0,7413.0,6893.0,6444.0,5990.0,5554.0,5168.0,4820.0,4516.0,4232.0,3943.0,3707.0,3492.0,3249.0,3069.0,2908.0,2718.0,2526.0,2386.0,2243.0,2114.0,2004.0,1884.0,1749.0,1637.0,1543.0,1427.0,1343.0,1265.0,1182.0,1131.0,1061.0,1002.0,936.0,885.0,839.0,784.0,729.0,697.0,661.0,616.0,574.0,550.0,538.0,524.0,501.0,482.0,451.0,424.0,399.0,394.0,377.0,359.0,331.0,311.0,303.0,290.0,283.0,275.0,263.0,248.0,235.0,227.0,219.0,214.0,204.0,196.0,197.0,192.0,182.0,175.0,172.0,164.0,160.0,154.0,148.0,142.0,138.0,139.0,135.0,136.0,129.0,123.0,115.0,112.0,110.0,105.0,102.0,94.0,88.0,82.0,71.0,66.0,67.0,66.0,63.0,60.0,59.0,58.0,53.0,52.0,50.0,48.0,48.0,47.0,48.0,50.0,51.0,52.0,56.0,53.0,51.0,52.0,48.0,49.0,49.0,51.0,48.0,47.0,45.0,44.0,40.0,39.0,41.0,36.0,30.0,30.0,32.0,29.0,30.0,33.0,30.0,29.0,29.0,30.0,30.0,27.0,27.0,27.0,25.0,26.0,23.0,22.0,24.0,26.0,24.0,24.0,24.0,25.0,23.0,24.0,26.0,27.0,28.0,26.0,26.0,30.0,31.0,34.0,36.0,36.0,34.0,34.0,35.0,36.0,38.0,37.0,40.0,41.0,42.0,41.0,39.0,36.0,35.0,38.0,40.0,40.0,39.0,38.0,38.0,37.0,36.0,38.0,40.0,38.0,43.0,45.0,45.0,48.0,49.0,49.0,51.0,51.0,54.0,51.0,51.0,50.0,49.0,51.0,50.0,49.0,49.0,47.0,51.0,56.0,53.0,54.0,58.0,59.0,63.0,68.0,64.0,67.0,69.0,67.0,71.0,73.0,75.0,73.0,72.0,72.0,71.0,76.0,75.0,81.0,87.0,88.0,94.0
n_infectious,0.0,0.0,0.0,3.0,3.0,7.0,10.0,13.0,16.0,20.0,27.0,32.0,38.0,43.0,47.0,52.0,58.0,70.0,86.0,95.0,110.0,132.0,147.0,174.0,210.0,237.0,269.0,307.0,370.0,415.0,476.0,557.0,626.0,729.0,847.0,965.0,1097.0,1226.0,1360.0,1576.0,1800.0,1994.0,2237.0,2528.0,2856.0,3194.0,3586.0,4088.0,4590.0,5165.0,5789.0,6546.0,7463.0,8499.0,9659.0,10955.0,12401.0,13995.0,15833.0,17965.0,20325.0,22912.0,25887.0,29215.0,32908.0,36978.0,41586.0,46975.0,52604.0,58856.0,65718.0,73346.0,81619.0,90852.0,100771.0,111260.0,122907.0,135107.0,148229.0,162075.0,176773.0,192169.0,207678.0,222919.0,238534.0,253885.0,268755.0,282949.0,296312.0,308284.0,318747.0,327703.0,334636.0,339836.0,342917.0,344307.0,343476.0,341030.0,337539.0,332139.0,325444.0,317776.0,308889.0,299391.0,289378.0,278842.0,268633.0,257985.0,247017.0,236590.0,225930.0,215693.0,205608.0,195736.0,186230.0,177141.0,168511.0,159935.0,151783.0,144078.0,136559.0,129544.0,122796.0,116264.0,109973.0,103997.0,98344.0,93024.0,87700.0,82799.0,78154.0,73987.0,69865.0,65979.0,62376.0,58991.0,55715.0,52596.0,49697.0,46989.0,44358.0,42055.0,39733.0,37482.0,35475.0,33592.0,31860.0,29993.0,28426.0,26935.0,25493.0,24297.0,23031.0,21854.0,20687.0,19534.0,18636.0,17705.0,16881.0,16060.0,15351.0,14628.0,13940.0,13355.0,12656.0,12098.0,11545.0,11063.0,10654.0,10113.0,9718.0,9300.0,8925.0,8590.0,8237.0,7903.0,7487.0,7220.0,6899.0,6615.0,6326.0,6131.0,5859.0,5636.0,5421.0,5214.0,5051.0,4834.0,4650.0,4465.0,4282.0,4079.0,3904.0,3746.0,3565.0,3429.0,3301.0,3177.0,3058.0,2955.0,2874.0,2768.0,2694.0,2577.0,2470.0,2389.0,2321.0,2210.0,2131.0,2085.0,2020.0,1950.0,1878.0,1809.0,1758.0,1707.0,1679.0,1628.0,1596.0,1525.0,1513.0,1471.0,1446.0,1418.0,1367.0,1321.0,1267.0,1233.0,1200.0,1161.0,1134.0,1106.0,1085.0,1066.0,1064.0,1033.0,1026.0,1011.0,993.0,975.0,948.0,926.0,923.0,944.0,925.0,921.0,914.0,915.0,913.0,910.0,900.0,873.0,850.0,850.0,827.0,818.0,799.0,791.0,785.0,783.0,779.0,775.0,751.0,729.0,734.0,731.0,728.0,734.0,743.0,753.0,753.0,763.0,764.0,768.0,766.0,774.0,790.0,784.0,802.0,795.0,813.0,831.0,843.0,858.0,891.0,898.0,875.0,862.0,879.0,896.0,937.0,931.0,931.0,945.0,974.0,975.0,1021.0,1028.0,1027.0,1037.0,1045.0,1044.0,1073.0,1104.0,1103.0,1120.0,1146.0,1151.0,1184.0,1184.0,1179.0,1206.0,1226.0,1258.0,1255.0,1280.0,1329.0,1353.0,1377.0,1390.0,1408.0,1417.0,1448.0,1450.0,1491.0,1524.0,1569.0,1594.0,1642.0,1658.0,1714.0,1776.0,1846.0,1890.0,1942.0,1971.0,2010.0,2094.0,2168.0,2219.0,2270.0,2346.0,2410.0,2506.0,2571.0,2610.0,2660.0,2735.0,2816.0,2902.0,2936.0,3003.0,3070.0,3174.0,3219.0,3294.0,3374.0,3514.0,3591.0,3685.0,3819.0,3885.0,3982.0,4060.0,4177.0,4297.0
mobility,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_eff,5.493544507150957,5.7826784285799535,6.071241736041948,6.131812340183752,5.787749679064861,5.173998028136442,4.645303535693501,4.380187203122794,4.33526763192191,4.392293520813606,4.44836121336926,4.478770316278887,4.481871505513353,4.473286473509746,4.585018324120528,4.872152445675521,5.1243490138412175,5.21926861536479,5.174878068035534,4.872616680106273,4.427570816025787,4.078501884319091,3.786941455927863,3.7464662037422816,4.102035257426031,4.3761112788793595,4.303697429973547,4.139358894790597,3.966184636403436,3.831075081162355,3.859545589922602,3.84002146884349,3.6392597563821036,3.4919917166842573,3.5087965297126917,3.5510622505219924,3.508868347556429,3.4471189326180864,3.394741706719503,3.3095377584051002,3.2934656899705352,3.3754644908422686,3.4354766595037463,3.46367281771053,3.4827769638264954,3.461543452239149,3.450383967026189,3.522430546060086,3.608410200481158,3.614671811944974,3.5714916753563606,3.5413950212701732,3.545345074140523,3.5694251259682357,3.5794267143752565,3.56089066389658,3.533229267989963,3.505298872740637,3.466775347479771,3.432044136027645,3.421233410768034,3.417453213106183,3.3945861988713513,3.358564578304418,3.3132932891053386,3.2513860320461525,3.1971423788411757,3.163310401933063,3.1256262143350617,3.074402597590144,3.011395682118051,2.9374924811197527,2.864771258620486,2.797076065549338,2.7255387982862485,2.648917811409272,2.568406874548999,2.475877659878383,2.367354051946503,2.252125553825032,2.139769180353095,2.032701512586905,1.9277982053850025,1.8195850843123826,1.7063756231204579,1.5934199119020922,1.487897112220017,1.3895218823222408,1.295380706219441,1.207781164302999,1.1276013352650944,1.0534383261602709,0.9856007235303164,0.9243051435574773,0.8675192564085897,0.8135964259301967,0.7655903052445895,0.7260556885435318,0.6922730968073052,0.6612847608753353,0.6336022544068902,0.6110058997072157,0.5930125797347441,0.5764923076197972,0.560205098087336,0.5464700317873965,0.53487440388981,0.5228723219612185,0.511901639072777,0.5027062971877045,0.49327886661684756,0.4856121023871657,0.48285118557655304,0.48235200730409805,0.479518858922584,0.47314522337952014,0.46540887273762926,0.460355841973651,0.45867209940570064,0.4568925290620087,0.4556365872630617,0.4570071173892905,0.4569497968902653,0.454257145754174,0.45485539114230056,0.4591151168954391,0.46044866185330197,0.45834554323542825,0.45862404470498086,0.4617082323720379,0.46385272630777374,0.46486170124314613,0.4652235706801856,0.4654991885915548,0.4689282481174966,0.47524434834770013,0.4791977147779562,0.47773167548907997,0.4730911700487691,0.47051560566503725,0.4719219657593119,0.47548564944111044,0.4808666196574769,0.48612690378930284,0.48710226274703605,0.4872847854226246,0.4946212147720155,0.5050686806224821,0.5083508593282342,0.5057892622584466,0.5065528729103119,0.5138631209072047,0.521094962936648,0.5236711662746327,0.5285733179337604,0.5396941298901742,0.5491015558049197,0.5529160142576848,0.5551845058889654,0.5549953213653182,0.5503596506490331,0.5471851671711065,0.5496472575799699,0.5559477639375312,0.5655203738854895,0.5768402727144892,0.5821083252428003,0.5750552351445274,0.56616587058191,0.5718305596129206,0.5861577786985211,0.5924964674846255,0.5938328569554363,0.6008701645756581,0.6070359903117365,0.6023280551408412,0.5953806961612137,0.5951998173157563,0.5968762311526008,0.6024003564249573,0.614809609030374,0.6217969545998834,0.6164386175938961,0.6026859965506876,0.5765847902825421,0.5481847781648637,0.5497368777778554,0.5767727088906861,0.5918301921507271,0.5945779857677796,0.609863121881603,0.6310760662762103,0.6332608245096645,0.6323989680820311,0.6588850514773249,0.673711606651736,0.637309509873254,0.5944534425289304,0.5893322365808349,0.6178392066170058,0.6506453341762934,0.6556159884959298,0.647678969151879,0.6466720226799354,0.634313019843845,0.623070578629799,0.6416402483567112,0.6769952229832293,0.7020580882403564,0.700925307204992,0.683779551123418,0.6832233213526088,0.7066063551348681,0.7257382407959231,0.7175121407909509,0.7108319927435562,0.7543422562792335,0.7983565833829201,0.7606562160629184,0.6975256871014268,0.692741191424596,0.7150779520332237,0.7302703625547462,0.7440342139116218,0.7370030306191714,0.7143488883312687,0.7111418127693075,0.7318251083075037,0.7765476895881845,0.8416244515976835,0.8836129641958052,0.8687287873142899,0.8243252094534275,0.7959128251934333,0.7957667229422218,0.819500059376228,0.8536060690008117,0.8792934222265434,0.9021430304408623,0.9169685497285931,0.9220902387387291,0.9435265860956409,0.9494858915928283,0.8984760712187336,0.8328462802079132,0.80772161498764,0.8264710778337345,0.8556178837263135,0.8649951959397604,0.8528783075444034,0.8120077370250086,0.7494108426784494,0.744577693501474,0.8225129843437289,0.900443649359561,0.9594362844426902,0.9908111315634228,0.9243511652063037,0.8056892717796659,0.7694851262769445,0.8548360798435629,0.9804753924920637,1.0538461683738496,1.0693680650012294,1.083836537033107,1.1190057898095565,1.111721252979627,1.0645235129841104,1.1004963211087884,1.2094010897322347,1.2573124261249629,1.2106298664335016,1.108494329167814,1.0110449545025273,0.9878235220524153,1.04279364908427,1.1172249908642604,1.1818044445352376,1.2364173558951943,1.2281125242431985,1.1338173861192273,1.0367374300558647,1.0255467587909117,1.0934703697678048,1.1480651024623607,1.1642035468006093,1.1792203095228402,1.1793511193142778,1.1822057879594983,1.2039250975486786,1.199719762349033,1.1772228344904472,1.1678326849116698,1.1431914557499856,1.0906498822272974,1.0700105148417793,1.0990212085194306,1.1244755595958924,1.1489604070449244,1.1980320794107102,1.2237785252692146,1.1779531843354416,1.1206920682430415,1.1423260774838047,1.204102277121598,1.2126568238526636,1.183948541225287,1.1718530137353607,1.1696436497712075,1.1614941283489126,1.1493939208812023,1.1456298163735543,1.1614944591833554,1.1925554247068302,1.2252007545716723,1.2326892594138454,1.2027987243252298,1.1726913365341585,1.1763726069788785,1.1967936719702044,1.2141300496216543,1.2416704580794105,1.307595127626046,1.3812680452405843,1.3748205830982845,1.328460603465615,1.36913450469751,1.4691317518127638,1.5100015645244862,1.4646344884817182,1.3771424163551926,1.3060066710857492,1.305413990656681,1.354190142165078,1.3770517520661067,1.3513023066912744,1.314190543607526,1.2978170497583492,1.2969581892220032,1.312141318691863,1.3328185914604451,1.323641434192015,1.311136386046016,1.328445325151926,1.342937648300908,1.3428731505893763,1.3374921080226365,1.3236903865279732,1.3248948915843137,1.3455323252592581,1.349694468297759,1.3410420469043405,1.346193003143088,1.341371182884889,1.3052921315371802,1.2837916048044666,1.3149797121975197,1.3597217110576565,1.374867320302525,1.3775882716016918,1.3898777795448696,1.41108321632313,1.4378243257531735,1.4511087214671172,1.4380620582439925,1.4009811546959543
